INFO  - 2015-03-24 20:24:03.848; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-03-24 20:24:03.848; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-03-24 20:24:03.864; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-03-24 20:24:03.865; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-03-24 20:24:03.866; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-03-24 20:24:03.866; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-03-24 20:24:03.867; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-03-24 20:24:03.895; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-03-24 20:24:03.896; org.apache.solr.update.CommitTracker; Soft AutoCommit: if uncommited for 3000ms; 
INFO  - 2015-03-24 20:24:03.937; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_i,generation=18}
INFO  - 2015-03-24 20:24:03.937; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 18
INFO  - 2015-03-24 20:24:03.975; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@4d151931[collection1] main
INFO  - 2015-03-24 20:24:03.981; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-03-24 20:24:03.982; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf}
INFO  - 2015-03-24 20:24:03.997; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-03-24 20:24:04.000; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf
INFO  - 2015-03-24 20:24:04.001; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-03-24 20:24:04.001; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2015-03-24 20:24:04.001; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-03-24 20:24:04.006; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2015-03-24 20:24:04.012; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2015-03-24 20:24:04.013; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2015-03-24 20:24:04.014; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2015-03-24 20:24:04.027; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2015-03-24 20:24:04.028; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf/elevate.xml
INFO  - 2015-03-24 20:24:04.057; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2015-03-24 20:24:04.058; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@4d151931[collection1] main{StandardDirectoryReader(segments_i:42:nrt _9(4.10.2):C20/9:delGen=1 _a(4.10.2):C16)}
INFO  - 2015-03-24 20:24:04.111; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=52 
INFO  - 2015-03-24 20:24:04.112; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2015-03-24 20:24:04.112; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2015-03-24 20:24:04.112; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2015-03-24 20:24:04.112; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2015-03-24 20:24:04.112; org.apache.solr.spelling.suggest.SolrSuggester; reload()
